penalty_set,session_id,adversarial,final_trust,mfa_triggers,restrict_hits,block_hits
Set A (α=0.03),121,FALSE,1,0,0,0
Set A (α=0.03),122,FALSE,1,0,0,0
Set A (α=0.03),123,FALSE,1,0,0,0
Set A (α=0.03),124,FALSE,1,0,0,0
Set A (α=0.03),125,FALSE,1,0,0,0
Set A (α=0.03),126,FALSE,1,0,0,0
Set A (α=0.03),127,FALSE,1,0,0,0
Set A (α=0.03),128,FALSE,1,0,0,0
Set A (α=0.03),129,FALSE,1,0,0,0
Set A (α=0.03),130,FALSE,1,0,0,0
Set A (α=0.03),131,FALSE,1,0,0,0
Set A (α=0.03),132,FALSE,1,0,0,0
Set A (α=0.03),133,FALSE,1,0,0,0
Set A (α=0.03),134,FALSE,1,0,0,0
Set A (α=0.03),135,FALSE,1,0,0,0
Set A (α=0.03),136,FALSE,1,0,0,0
Set A (α=0.03),137,FALSE,1,0,0,0
Set A (α=0.03),138,FALSE,1,0,0,0
Set A (α=0.03),139,FALSE,1,0,0,0
Set A (α=0.03),140,FALSE,1,0,0,0
Set A (α=0.03),141,FALSE,1,0,0,0
Set A (α=0.03),142,FALSE,1,0,0,0
Set A (α=0.03),143,FALSE,1,0,0,0
Set A (α=0.03),144,FALSE,1,0,0,0
Set A (α=0.03),145,FALSE,1,0,0,0
Set A (α=0.03),146,FALSE,1,0,0,0
Set A (α=0.03),147,FALSE,1,0,0,0
Set A (α=0.03),148,FALSE,1,0,0,0
Set A (α=0.03),149,FALSE,1,0,0,0
Set A (α=0.03),150,FALSE,1,0,0,0
Set A (α=0.03),151,FALSE,1,0,0,0
Set A (α=0.03),152,FALSE,1,0,0,0
Set A (α=0.03),153,FALSE,1,0,0,0
Set A (α=0.03),154,FALSE,1,0,0,0
Set A (α=0.03),155,FALSE,1,0,0,0
Set A (α=0.03),156,FALSE,1,0,0,0
Set A (α=0.03),157,FALSE,1,0,0,0
Set A (α=0.03),158,FALSE,1,0,0,0
Set A (α=0.03),159,FALSE,1,0,0,0
Set A (α=0.03),160,FALSE,1,0,0,0
Set A (α=0.03),161,FALSE,1,0,0,0
Set A (α=0.03),162,FALSE,1,0,0,0
Set A (α=0.03),163,FALSE,1,0,0,0
Set A (α=0.03),164,FALSE,1,0,0,0
Set A (α=0.03),165,FALSE,1,0,0,0
Set A (α=0.03),166,FALSE,1,0,0,0
Set A (α=0.03),167,FALSE,1,0,0,0
Set A (α=0.03),168,FALSE,1,0,0,0
Set A (α=0.03),169,FALSE,1,0,0,0
Set A (α=0.03),170,FALSE,1,0,0,0
Set A (α=0.03),171,FALSE,1,0,0,0
Set A (α=0.03),172,FALSE,1,0,0,0
Set A (α=0.03),173,FALSE,1,0,0,0
Set A (α=0.03),174,FALSE,1,0,0,0
Set A (α=0.03),175,FALSE,1,0,0,0
Set A (α=0.03),176,FALSE,1,0,0,0
Set A (α=0.03),177,FALSE,1,0,0,0
Set A (α=0.03),178,FALSE,1,0,0,0
Set A (α=0.03),179,FALSE,1,0,0,0
Set A (α=0.03),180,FALSE,1,0,0,0
Set A (α=0.03),181,FALSE,1,0,0,0
Set A (α=0.03),182,FALSE,1,0,0,0
Set A (α=0.03),183,FALSE,1,0,0,0
Set A (α=0.03),184,FALSE,1,0,0,0
Set A (α=0.03),185,FALSE,1,0,0,0
Set A (α=0.03),186,FALSE,1,0,0,0
Set A (α=0.03),187,FALSE,1,0,0,0
Set A (α=0.03),188,FALSE,1,0,0,0
Set A (α=0.03),189,FALSE,1,0,0,0
Set A (α=0.03),190,FALSE,1,0,0,0
Set A (α=0.03),191,FALSE,1,0,0,0
Set A (α=0.03),192,FALSE,1,0,0,0
Set A (α=0.03),193,FALSE,1,0,0,0
Set A (α=0.03),194,FALSE,1,0,0,0
Set A (α=0.03),195,FALSE,1,0,0,0
Set A (α=0.03),196,FALSE,1,0,0,0
Set A (α=0.03),197,FALSE,1,0,0,0
Set A (α=0.03),198,FALSE,1,0,0,0
Set A (α=0.03),199,FALSE,1,0,0,0
"Set B (α=0.06, baseline)",0,TRUE,0.74,2,2,0
"Set B (α=0.06, baseline)",1,TRUE,0.42,10,10,0
"Set B (α=0.06, baseline)",2,TRUE,0.64,7,7,0
"Set B (α=0.06, baseline)",3,TRUE,0.3,13,13,3
"Set B (α=0.06, baseline)",4,TRUE,0.66,0,0,0
"Set B (α=0.06, baseline)",5,TRUE,0.21,11,11,3
"Set B (α=0.06, baseline)",6,TRUE,0.58,8,8,0
"Set B (α=0.06, baseline)",7,TRUE,0.44,17,17,2
"Set B (α=0.06, baseline)",8,TRUE,0.3,7,7,1
"Set B (α=0.06, baseline)",9,TRUE,0.28,7,7,7
"Set B (α=0.06, baseline)",10,TRUE,0.41,19,19,0
"Set B (α=0.06, baseline)",11,TRUE,0.3,17,17,1
"Set B (α=0.06, baseline)",12,TRUE,0.21,10,10,4
"Set B (α=0.06, baseline)",13,TRUE,0.21,10,10,6
"Set B (α=0.06, baseline)",14,TRUE,0.47,13,13,0
"Set B (α=0.06, baseline)",15,TRUE,0.76,6,6,0
"Set B (α=0.06, baseline)",16,TRUE,0.73,5,5,0
"Set B (α=0.06, baseline)",17,TRUE,0.54,17,17,0
"Set B (α=0.06, baseline)",18,TRUE,0.58,8,8,0
"Set B (α=0.06, baseline)",19,TRUE,0.68,3,3,0
"Set B (α=0.06, baseline)",20,TRUE,0.05,8,8,10
"Set B (α=0.06, baseline)",21,TRUE,0.7,0,0,0
"Set B (α=0.06, baseline)",22,TRUE,0.8,0,0,0
"Set B (α=0.06, baseline)",23,TRUE,0.54,16,16,0
"Set B (α=0.06, baseline)",24,TRUE,0.1,4,4,6
"Set B (α=0.06, baseline)",25,TRUE,0.56,18,18,0
"Set B (α=0.06, baseline)",26,TRUE,0.1,11,11,8
"Set B (α=0.06, baseline)",27,TRUE,0,7,7,10
"Set B (α=0.06, baseline)",28,TRUE,0.79,0,0,0
"Set B (α=0.06, baseline)",29,TRUE,0.55,5,5,0
"Set B (α=0.06, baseline)",30,TRUE,0.97,4,4,0
"Set B (α=0.06, baseline)",31,TRUE,0,6,6,13
"Set B (α=0.06, baseline)",32,TRUE,0.19,7,7,12
"Set B (α=0.06, baseline)",33,TRUE,0.54,17,17,0
"Set B (α=0.06, baseline)",34,TRUE,0.25,12,12,6
"Set B (α=0.06, baseline)",35,TRUE,0,9,9,7
"Set B (α=0.06, baseline)",36,TRUE,0.24,12,12,3
"Set B (α=0.06, baseline)",37,TRUE,0.55,4,4,0
"Set B (α=0.06, baseline)",38,TRUE,0.3,5,5,1
"Set B (α=0.06, baseline)",39,TRUE,0.5,12,12,0
"Set B (α=0.06, baseline)",40,TRUE,0.51,4,4,0
"Set B (α=0.06, baseline)",41,TRUE,0.56,10,10,0
"Set B (α=0.06, baseline)",42,TRUE,0.64,14,14,0
"Set B (α=0.06, baseline)",43,TRUE,0.36,6,6,0
"Set B (α=0.06, baseline)",44,TRUE,0.44,7,7,0
"Set B (α=0.06, baseline)",45,TRUE,0.35,13,13,5
